Date,Price,Open,High,Low,Vol.,Change %
4/30/2013,196.25,194.38,196.72,193.14,24.05M,0.88
4/29/2013,194.53,193.57,194.7,193,11.93M,0.76
4/26/2013,193.07,193.2,193.73,192.29,12.83M,-0.34
4/25/2013,193.73,193.64,193.73,192.9,17.62M,0.16
4/24/2013,193.43,192.16,193.47,191.34,16.76M,0.77
4/23/2013,191.96,191.97,192.78,191.18,17.37M,0.16
4/22/2013,191.65,192.97,193.11,191.22,14.39M,-0.47
4/19/2013,192.56,190.95,192.6,190.99,15.55M,0.73
4/18/2013,191.17,193.1,192.69,190.75,21.91M,-0.41
4/17/2013,191.96,192.9,193.57,190.61,19.78M,-0.8
4/16/2013,193.51,191.57,193.6,191.07,16.39M,1.28
4/15/2013,191.06,193.17,194.23,190.84,17.53M,-1.63
4/12/2013,194.23,193.88,194.59,193.12,12.90M,-0.2
4/11/2013,194.61,195.73,195.52,194.14,15.02M,-0.39
4/10/2013,195.37,193.62,195.97,192.61,21.15M,1.43
4/9/2013,192.61,191.91,193.32,191.15,21.69M,0.67
4/8/2013,191.32,191.23,191.54,189.52,17.58M,-0.03
4/5/2013,191.38,191.86,193.38,189.83,21.57M,-1.03
4/4/2013,193.38,195.88,196.33,192.78,19.90M,-1.32
4/3/2013,195.97,198.75,198.74,195.12,22.83M,-1.39
4/2/2013,198.74,197.14,198.74,196.95,15.39M,0.91
4/1/2013,196.94,197.22,197.69,196.71,11.18M,-0.33
3/28/2013,197.59,195.94,198.02,195.11,24.85M,0.49
3/27/2013,196.62,197.81,198.33,196.24,21.25M,-0.86
3/26/2013,198.33,198.09,198.33,197.56,18.68M,0.27
3/25/2013,197.8,199.23,199.39,197.38,25.27M,-0.26
3/22/2013,198.32,197.4,199.09,197.22,19.71M,0.48
3/21/2013,197.38,198.88,199.05,196.96,27.10M,-0.84
3/20/2013,199.05,199.2,199.52,198.26,18.65M,0.13
3/19/2013,198.79,198.93,199.79,198.48,18.94M,-0.06
3/18/2013,198.9,198.89,199.93,198.19,15.23M,-0.52
3/15/2013,199.93,199.51,200.69,199.17,35.60M,0.13
3/14/2013,199.67,199.31,199.86,198.22,19.33M,0.32
3/13/2013,199.04,200.87,200.95,198.24,24.20M,-0.94
3/12/2013,200.93,201.29,201.42,200.4,27.98M,-0.2
3/11/2013,201.34,200.72,201.57,200.68,12.87M,0.21
3/8/2013,200.91,201.82,202.02,199.93,21.83M,-0.2
3/7/2013,201.32,202.3,202.17,200.86,16.26M,-0.26
3/6/2013,201.85,203.37,203.55,201.6,14.39M,-0.25
3/5/2013,202.35,202.83,203.3,201.57,15.59M,0.39
3/4/2013,201.57,201.66,202.2,200.86,13.14M,-0.17
3/1/2013,201.92,202.3,202.71,201.19,20.49M,-0.29
2/28/2013,202.5,201.74,202.59,200.72,27.17M,0.68
2/27/2013,201.14,199.64,201.14,199.26,15.08M,0.49
2/26/2013,200.16,200.01,200.63,199.4,27.07M,0.15
2/25/2013,199.86,201.95,203.4,199.76,23.65M,-0.78
2/22/2013,201.44,200.56,201.9,200.46,14.90M,0.49
2/21/2013,200.46,200.93,201.47,199.67,22.97M,-0.53
2/20/2013,201.53,201.21,202.32,201.15,28.49M,0.14
2/19/2013,201.25,199.59,201.34,198.86,24.16M,1.2
2/15/2013,198.86,198.5,199.49,198.58,19.89M,0.09
2/14/2013,198.69,199.11,199.09,197.64,21.19M,-0.2
2/13/2013,199.08,199.25,199.27,198.61,21.78M,0.24
2/12/2013,198.61,198.39,199.46,198.42,24.13M,0.09
2/11/2013,198.44,198.4,199.36,198.13,16.47M,0.09
2/8/2013,198.26,197.4,198.74,197.16,13.58M,0.56
2/7/2013,197.16,197.51,197.98,196.78,18.53M,-0.09
2/6/2013,197.34,196.34,197.76,196.41,18.65M,0.41
2/5/2013,196.54,196.57,197.11,196.08,15.63M,0.01
2/4/2013,196.52,196.47,197.7,195.71,15.50M,-0.6
2/1/2013,197.7,197.72,198.18,196.98,14.31M,0.36
1/31/2013,196.99,198.26,198.34,196.81,19.60M,-0.68
1/30/2013,198.34,198.34,199.1,197.93,13.57M,-0.21
1/29/2013,198.76,198.69,199.19,198.4,18.61M,-0.1
1/28/2013,198.95,198.76,199.62,197.95,17.61M,0.51
1/25/2013,197.94,198.35,198.72,197.71,14.24M,0.1
1/24/2013,197.75,197.23,198.09,196.98,18.38M,0.39
1/23/2013,196.98,196.64,197.36,196.68,13.16M,-0.19
1/22/2013,197.36,196.8,197.36,196.37,16.08M,0.21
1/21/2013,196.94,195.97,197.16,195.62,13.20M,0.67
1/18/2013,195.62,194.82,196.07,194.49,15.91M,0.59
1/17/2013,194.48,193.5,194.73,193.39,13.70M,0.56
1/16/2013,193.39,193.2,193.7,192.81,12.75M,-0.16
1/15/2013,193.7,192.55,193.73,192.56,17.43M,0.17
1/14/2013,193.38,193.31,193.41,192.65,11.35M,0.14
1/11/2013,193.11,193.33,193.29,192.26,9.97M,-0.03
1/10/2013,193.17,193.61,193.74,193.04,12.96M,-0.01
1/9/2013,193.19,193.07,193.42,192.45,17.32M,0.07
1/8/2013,193.06,192.77,193.07,192.01,17.68M,0.12
1/7/2013,192.82,192.78,192.96,191.47,17.65M,-0.04
1/4/2013,192.89,191.82,193.2,191.83,16.38M,0.5
1/3/2013,191.93,191.91,192.09,191.25,19.25M,0.12
1/2/2013,191.7,192.91,192.98,190.99,16.32M,0.37
12/31/2012,190.99,190.16,191.33,189.82,11.69M,0.25
12/28/2012,190.51,190.47,191.46,190.18,8.62M,-0.5
12/27/2012,191.46,191.42,192.42,190.15,11.90M,-0.5
12/24/2012,192.42,191.99,192.77,191.99,7.62M,0.03
12/21/2012,192.36,192.28,192.48,190.85,45.75M,0.05
12/20/2012,192.26,191.7,192.29,191.5,18.87M,0.14
12/19/2012,191.99,190.17,192.16,189.8,24.92M,1.16
12/18/2012,189.78,188.07,190.17,187.98,29.65M,0.94
12/17/2012,188.01,188.14,188.51,187.2,30.73M,-0.27
12/14/2012,188.51,188.58,188.9,188,24.32M,-0.08
12/13/2012,188.66,188.58,188.87,188.03,19.73M,-0.06
12/12/2012,188.78,187.87,188.9,187.79,22.31M,0.53
12/11/2012,187.79,186.77,188.1,186.57,18.06M,0.65
12/10/2012,186.57,186.46,186.67,185.95,18.89M,0.31
12/7/2012,185.99,186.62,187.03,185.62,16.39M,-0.11
